Angle,PBEh-3C,HF,B3LYP
0,-268.98227752,-268.0754289888,-269.5263445761
10.28571429,-268.9824414,-268.0757422378,-269.5266723638
20.57142857,-268.98336726,-268.0769105706,-269.5276787082
30.85714286,-268.98482527,-268.0786867093,-269.529125171
41.14285714,-268.98643226,-268.0805222334,-269.5306489
51.42857143,-268.98926917,-268.0833504715,-269.5330444613
61.71428571,-268.99000092,-268.0839736933,-269.533569966
72,-268.98949003,-268.0833474013,-269.5330231765
82.28571429,-268.987914,-268.081735052,-269.5316418848
92.57142857,-268.98576811,-268.0794774226,-269.529701734
102.85714286,-268.98343492,-268.0770727068,-269.5275743981
113.14285714,-268.98140893,-268.0750412453,-269.5257518753
123.42857143,-268.98030912,-268.0739826884,-269.5247554873
133.71428571,-268.9803604,-268.0741561941,-269.5248220712
144,-268.98146232,-268.0754484974,-269.5258129607
154.28571429,-268.98314958,-268.0773250505,-269.5272907439
164.57142857,-268.98472483,-268.0791719966,-269.5287816535
174.85714286,-268.98581023,-268.0804674146,-269.5298407678
185.14285714,-268.98611453,-268.0809430195,-269.530301367
195.42857143,-268.98545858,-268.0805716575,-269.5300652008
205.71428571,-268.9840296,-268.0793958298,-269.5291721528
216,-268.98213118,-268.0776826524,-269.5278331027
226.28571429,-268.98017721,-268.0759418885,-269.5263803383
236.57142857,-268.97883029,-268.074680688,-269.5252960091
246.85714286,-268.97843381,-268.074307556,-269.5249557841
257.14285714,-268.97912655,-268.0749463322,-269.525447041
267.42857143,-268.98056575,-268.0762215078,-269.5264687905
277.71428571,-268.9822484,-268.077684649,-269.5276715907
288,-268.98366161,-268.0787408151,-269.5285059474
298.28571429,-268.98438816,-268.0790376129,-269.5287344851
308.57142857,-268.98419589,-268.078498906,-269.5282569765
318.85714286,-268.98316514,-268.077313235,-269.5271881197
329.14285714,-268.98180308,-268.0762924004,-269.5263972719
339.42857143,-268.98318925,-268.0774289095,-269.5280956458
349.71428571,-268.98091855,-268.0752228968,-269.5261043507
360,-268.97981704,-268.074136342,-269.5251259036
